rorg,rdes,Origin,Dest
7372,8316,William B Hartsfield-Atlanta In,Lehigh Valley International    
602,1403,Wilkes-Barre/Scranton Intl     ,Lehigh Valley International    
1140,1154,Baltimore-Washington Internatio,Lehigh Valley International    
1027,1499,Cleveland-Hopkins Intl         ,Lehigh Valley International    
3076,2927,Charlotte/Douglas International,Lehigh Valley International    
2271,2772,Cincinnati Northern Kentucky In,Lehigh Valley International    
133,186,Ronald Reagan Washington Nation,Lehigh Valley International    
5659,8211,Detroit Metropolitan-Wayne Coun,Lehigh Valley International    
1,1,Newark Intl                    ,Lehigh Valley International    
444,592,Washington Dulles International,Lehigh Valley International    
1,1,Indianapolis International     ,Lehigh Valley International    
28,36,LaGuardia                      ,Lehigh Valley International    
449,614,Orlando International          ,Lehigh Valley International    
4310,5179,Harrisburg Intl                ,Lehigh Valley International    
1,0,General Mitchell International ,Lehigh Valley International    
10416,11025,Chicago O'Hare International   ,Lehigh Valley International    
257,205,Philadelphia Intl              ,Lehigh Valley International    
9488,10591,Pittsburgh International       ,Lehigh Valley International    
40,80,Raleigh-Durham International   ,Lehigh Valley International    
0,1,Alexandria International       ,Abilene Regional               
0,0,Easterwood                     ,Abilene Regional               
5862,6972,Dallas-Fort Worth International,Abilene Regional               
544,756,George Bush Intercontinental   ,Abilene Regional               
0,1,Indianapolis International     ,Abilene Regional               
1,0,McAllen Miller International   ,Abilene Regional               
0,1,Metropolitan Oakland Internatio,Abilene Regional               
1,1,Ontario International          ,Abilene Regional               
1,0,Salt Lake City Intl            ,Abilene Regional               
5061,5792,Amarillo International         ,Albuquerque International      
7182,6941,William B Hartsfield-Atlanta In,Albuquerque International      
326,393,Austin-Bergstrom International ,Albuquerque International      
1281,852,Baltimore-Washington Internatio,Albuquerque International      
8,10,Cleveland-Hopkins Intl         ,Albuquerque International      
597,604,City of Colorado Springs Muni  ,Albuquerque International      
3494,3587,Cincinnati Northern Kentucky In,Albuquerque International      
18352,19390,Dallas Love                    ,Albuquerque International      
26766,28892,Denver Intl                    ,Albuquerque International      
35895,36995,Dallas-Fort Worth International,Albuquerque International      
1,1,Durango-La Plata County        ,Albuquerque International      
9494,12817,El Paso International          ,Albuquerque International      
287,394,Newark Intl                    ,Albuquerque International      
3,3,Four Corners Regional          ,Albuquerque International      
4749,4822,William P Hobby                ,Albuquerque International      
268,302,Washington Dulles International,Albuquerque International      
12798,13744,George Bush Intercontinental   ,Albuquerque International      
0,1,John F Kennedy Intl            ,Albuquerque International      
20999,23891,McCarran International         ,Albuquerque International      
21421,21468,Los Angeles International      ,Albuquerque International      
5116,6567,Lubbock International          ,Albuquerque International      
3782,4734,Midland International          ,Albuquerque International      
4696,4788,Kansas City International      ,Albuquerque International      
2002,1782,Orlando International          ,Albuquerque International      
1957,1424,Chicago Midway                 ,Albuquerque International      
0,0,Memphis International          ,Albuquerque International      
4889,5465,Minneapolis-St Paul Intl       ,Albuquerque International      
3354,2981,Metropolitan Oakland Internatio,Albuquerque International      
108,106,Will Rogers World              ,Albuquerque International      
0,0,Eppley Airfield                ,Albuquerque International      
309,355,Ontario International          ,Albuquerque International      
9204,9046,Chicago O'Hare International   ,Albuquerque International      
818,656,Portland Intl                  ,Albuquerque International      
49382,60766,Phoenix Sky Harbor Internationa,Albuquerque International      
4163,3533,Pittsburgh International       ,Albuquerque International      
1,0,Reno/Tahoe International       ,Albuquerque International      
8090,7792,San Diego International-Lindber,Albuquerque International      
158,142,San Antonio International      ,Albuquerque International      
1846,1315,Seattle-Tacoma Intl            ,Albuquerque International      
4745,4615,San Francisco International    ,Albuquerque International      
10851,13720,Salt Lake City Intl            ,Albuquerque International      
231,216,Sacramento International       ,Albuquerque International      
1,0,John Wayne /Orange Co          ,Albuquerque International      
14076,15456,Lambert-St Louis International ,Albuquerque International      
893,855,Tampa International            ,Albuquerque International      
387,531,Tulsa International            ,Albuquerque International      
3188,3518,Tucson International           ,Albuquerque International      
2732,3271,William B Hartsfield-Atlanta In,Southwest Georgia Regional     
0,0,Middle Georgia Regional        ,Southwest Georgia Regional     
491,612,Newark Intl                    ,Nantucket Memorial             
79,100,John F Kennedy Intl            ,Nantucket Memorial             
1,9,LaGuardia                      ,Nantucket Memorial             
3830,5424,Dallas-Fort Worth International,Waco Regional                  
648,732,George Bush Intercontinental   ,Waco Regional                  
1,0,Texarkana Regional-Webb        ,Waco Regional                  
645,901,Jack McNamara                  ,Arcata                         
1,2,Rogue Valley International     ,Arcata                         
1,0,Portland Intl                  ,Arcata                         
107,105,Redding Municipal              ,Arcata                         
6081,7184,San Francisco International    ,Arcata                         
1272,1553,Sacramento International       ,Arcata                         
553,551,William B Hartsfield-Atlanta In,Atlantic City International    
39,31,Gen Edw L Logan Intl           ,Atlantic City International    
648,935,Cincinnati Northern Kentucky In,Atlantic City International    
47,62,Orlando International          ,Atlantic City International    
2427,2422,Pittsburgh International       ,Atlantic City International    
1,0,Lambert-St Louis International ,Atlantic City International    
218,198,King Salmon                    ,Adak                           
32,57,Ted Stevens Anchorage Internati,Adak                           
3034,4475,Ted Stevens Anchorage Internati,Kodiak                         
45,60,Bethel                         ,Kodiak                         
13,14,Dillingham                     ,Kodiak                         
2230,2456,William B Hartsfield-Atlanta In,Alexandria International       
0,0,Baton Rouge Metropolitan       ,Alexandria International       
0,0,Columbia Metropolitan          ,Alexandria International       
1178,1427,Dallas-Fort Worth International,Alexandria International       
130,156,Golden Triangle Regional       ,Alexandria International       
2009,2703,George Bush Intercontinental   ,Alexandria International       
1,1,Jacksonville International     ,Alexandria International       
1,3,Key                            ,Alexandria International       
0,0,Tyler Pounds                   ,Alexandria International       
0,0,McGhee-Tyson                   ,Alexandria International       
20593,24441,William B Hartsfield-Atlanta In,Bush                           
1,1,Asheville Regional             ,Bush                           
1,1,Columbia Metropolitan          ,Bush                           
1,3,Cleveland-Hopkins Intl         ,Bush                           
2747,3329,Charlotte/Douglas International,Bush                           
0,0,Cincinnati Northern Kentucky In,Bush                           
0,1,Dallas-Fort Worth International,Bush                           
276,388,Newark Intl                    ,Bush                           
1,1,Florence Regional              ,Bush                           
1,1,Tri-State/Walker-Long          ,Bush                           
123,252,George Bush Intercontinental   ,Bush                           
0,0,Long Island - MacArthur        ,Bush                           
2,1,John F Kennedy Intl            ,Bush                           
7,13,LaGuardia                      ,Bush                           
0,0,Savannah International         ,Bush                           
0,1,Tallahassee Regional           ,Bush                           
1,1,Northwest Arkansas Regional    ,Bush                           
261,234,Adak                           ,King Salmon                    
1760,2699,Ted Stevens Anchorage Internati,King Salmon                    
143,251,Dillingham                     ,King Salmon                    
1,2,Lehigh Valley International    ,Albany Cty                     
12613,13694,William B Hartsfield-Atlanta In,Albany Cty                     
1,1,Wilkes-Barre/Scranton Intl     ,Albany Cty                     
25,44,Bradley International          ,Albany Cty                     
181,164,Gen Edw L Logan Intl           ,Albany Cty                     
227,230,Burlington International       ,Albany Cty                     
2289,2745,Buffalo Niagara Intl           ,Albany Cty                     
12081,12430,Baltimore-Washington Internatio,Albany Cty                     
2485,3154,Cleveland-Hopkins Intl         ,Albany Cty                     
4244,4257,Charlotte/Douglas International,Albany Cty                     
1,1,Port Columbus Intl             ,Albany Cty                     
5641,7614,Cincinnati Northern Kentucky In,Albany Cty                     
6770,7398,Ronald Reagan Washington Nation,Albany Cty                     
1,0,Denver Intl                    ,Albany Cty                     
9193,12529,Detroit Metropolitan-Wayne Coun,Albany Cty                     
3222,3731,Newark Intl                    ,Albany Cty                     
4,5,Westchester Cty                ,Albany Cty                     
1561,1726,Washington Dulles International,Albany Cty                     
656,761,Long Island - MacArthur        ,Albany Cty                     
582,760,John F Kennedy Intl            ,Albany Cty                     
1630,1174,McCarran International         ,Albany Cty                     
567,389,LaGuardia                      ,Albany Cty                     
3330,3266,Orlando International          ,Albany Cty                     
1137,888,Chicago Midway                 ,Albany Cty                     
137,166,Manchester                     ,Albany Cty                     
1,0,General Mitchell International ,Albany Cty                     
120,145,Minneapolis-St Paul Intl       ,Albany Cty                     
24223,24708,Chicago O'Hare International   ,Albany Cty                     
1,2,Norfolk International          ,Albany Cty                     
15165,15814,Philadelphia Intl              ,Albany Cty                     
11949,13396,Pittsburgh International       ,Albany Cty                     
53,44,Theodore F Green State         ,Albany Cty                     
1422,2092,Portland International Jetport ,Albany Cty                     
2849,2758,Raleigh-Durham International   ,Albany Cty                     
378,465,Greater Rochester Int'l        ,Albany Cty                     
22,58,Stewart                        ,Albany Cty                     
252,294,Syracuse-Hancock Intl          ,Albany Cty                     
264,137,Tampa International            ,Albany Cty                     
194,267,Minneapolis-St Paul Intl       ,Waterloo Municipal             
29,145,Rochester International        ,Waterloo Municipal             
72,147,Lambert-St Louis International ,Waterloo Municipal             
6363,6754,Albuquerque International      ,Amarillo International         
18856,21912,Dallas Love                    ,Amarillo International         
422,296,Denver Intl                    ,Amarillo International         
19680,21163,Dallas-Fort Worth International,Amarillo International         
2441,3538,George Bush Intercontinental   ,Amarillo International         
1,0,Wichita Mid-Continent          ,Amarillo International         
2329,2250,McCarran International         ,Amarillo International         
916,1348,Lubbock International          ,Amarillo International         
117,113,Midland International          ,Amarillo International         
1,0,San Antonio International      ,Amarillo International         
1,0,Salt Lake City Intl            ,Amarillo International         
6,5,Tucson International           ,Amarillo International         
35,14,Adak                           ,Ted Stevens Anchorage Internati
3636,4742,Kodiak                         ,Ted Stevens Anchorage Internati
1292,1848,King Salmon                    ,Ted Stevens Anchorage Internati
60,94,Aniak                          ,Ted Stevens Anchorage Internati
586,479,William B Hartsfield-Atlanta In,Ted Stevens Anchorage Internati
6807,9474,Bethel                         ,Ted Stevens Anchorage Internati
