UniqueCarrier,rorg,rdes
9E,77765,106775
AA,5568676,6240468
AQ,25670,33609
AS,913090,1398470
B6,270795,278017
CO,2833766,3555803
DH,215594,261794
DL,7589495,8336525
EA,210665,425634
EV,560875,657780
F9,106921,114228
FL,368206,450882
HA,34547,49635
HP,1297552,1875072
ML (1),16597,29531
MQ,1035269,1303649
NW,2949158,4220111
OH,367466,528235
OO,839312,1023900
PA (1),73237,149805
PI,558231,584091
PS,46500,47913
TW,1265673,1738764
TZ,56744,85122
UA,5571906,5870872
US,6449620,6462758
WN,5393863,5952554
XE,602298,860601
YV,192717,250581
